日期,白银价格,黄金价格,金银比,动量分数,COMEX库存,COT商业,COT投机,SLV持仓,利多数,利空数,判断,操作,备注
2026/1/30,$98.50,$5067,46.6,100,105M,-21213,7699,499M,3,2,观望,无,暴跌后基准
2026/2/3,,,,,,,,,,,,,
2026/2/4,,,,,,,,,,,,,
2026/2/5,,,,,105M周三查,,,,,,,,非农前
2026/2/6,,,,,,,,,,,,,非农日
2026/2/7,,,,,,周五查,周五查,,,,,,
2026/2/10,,,,,,,,,,,,,⚠️3月窗口开始
2026/2/11,,,,,,,,,,,,,CPI日
2026/2/12,,,,,周三查,,,,,,,,
2026/2/13,,,,,,,,,,,,,
2026/2/14,,,,,,周五查,周五查,,,,,,
2026/2/17,,,,,,,,,,,,,春节
2026/2/18,,,,,,,,,,,,,春节
2026/2/19,,,,,周三查,,,,,,,,春节
2026/2/20,,,,,,,,,,,,,
2026/2/21,,,,,,周五查,周五查,,,,,,
2026/2/24,,,,,,,,,,,,,
2026/2/25,,,,,,,,,,,,,2月交割结束
2026/2/26,,,,,周三查,,,,,,,,
2026/2/27,,,,,,,,,,,,,💀3月通知日
2026/2/28,,,,,,周五查,周五查,,,,,,
